window,base,rule,template,side,regime,hold_5m,leverage,trades,profit_ratio_sum,profit_pct_sum,avg_trade_pct,wins,losses,winrate_pct,profit_factor
2023H2,RUNE,RUNE:vwap_reclaim:short:market_contra:h18:l5,vwap_reclaim,short,market_contra,18,5.0,27,0.2715427334328724,27.154273343287237,1.0057138275291568,16,11,59.25925925925925,1.690265017049109
2024,RUNE,RUNE:vwap_reclaim:short:market_contra:h18:l5,vwap_reclaim,short,market_contra,18,5.0,50,-0.029681477685272184,-2.9681477685272184,-0.059362955370544375,23,27,46.0,0.9776976445252529
2025,RUNE,RUNE:vwap_reclaim:short:market_contra:h18:l5,vwap_reclaim,short,market_contra,18,5.0,50,0.6031714627690604,60.317146276906044,1.2063429255381208,30,20,60.0,1.8545725064431697
2026_01_05,RUNE,RUNE:vwap_reclaim:short:market_contra:h18:l5,vwap_reclaim,short,market_contra,18,5.0,11,0.13552670117043975,13.552670117043974,1.2320609197312704,5,6,45.45454545454545,1.8117444772304032
2023H2,RUNE,RUNE:range_breakout:long:market_aligned:h24:l4,range_breakout,long,market_aligned,24,4.0,141,0.1754992020332642,17.54992020332642,0.1244675191725278,65,76,46.09929078014184,1.0510710831482966
2024,RUNE,RUNE:range_breakout:long:market_aligned:h24:l4,range_breakout,long,market_aligned,24,4.0,331,1.7788893485306603,177.88893485306602,0.5374288062026165,164,167,49.546827794561935,1.2497446486128525
2025,RUNE,RUNE:range_breakout:long:market_aligned:h24:l4,range_breakout,long,market_aligned,24,4.0,242,-0.48015441763739775,-48.01544176373977,-0.19841091637908997,107,135,44.214876033057855,0.9118099295350998
2026_01_05,RUNE,RUNE:range_breakout:long:market_aligned:h24:l4,range_breakout,long,market_aligned,24,4.0,109,0.24696280473196852,24.69628047319685,0.2265713804880445,51,58,46.788990825688074,1.1426450267309018
2023H2,RUNE,RUNE:range_breakout:short:market_aligned:h24:l4,range_breakout,short,market_aligned,24,4.0,119,-0.9183535238824603,-91.83535238824602,-0.7717256503213952,50,69,42.016806722689076,0.7399063053445755
2024,RUNE,RUNE:range_breakout:short:market_aligned:h24:l4,range_breakout,short,market_aligned,24,4.0,277,-1.6679228621761926,-166.79228621761925,-0.6021382173921273,121,156,43.682310469314075,0.7938348683933159
2025,RUNE,RUNE:range_breakout:short:market_aligned:h24:l4,range_breakout,short,market_aligned,24,4.0,242,-0.37655165331374096,-37.65516533137409,-0.15559985674121526,117,125,48.34710743801653,0.9325970121715845
2026_01_05,RUNE,RUNE:range_breakout:short:market_aligned:h24:l4,range_breakout,short,market_aligned,24,4.0,116,-0.6219649261022511,-62.19649261022511,-0.5361766604329751,58,58,50.0,0.7392496825331918
2023H2,RUNE,RUNE:stoch_turn:long:local_trend:h24:l4,stoch_turn,long,local_trend,24,4.0,35,0.10573014959077032,10.573014959077032,0.3020861416879152,19,16,54.285714285714285,1.166420452646581
2024,RUNE,RUNE:stoch_turn:long:local_trend:h24:l4,stoch_turn,long,local_trend,24,4.0,60,-0.5230295016077751,-52.302950160777506,-0.8717158360129585,29,31,48.333333333333336,0.7018634840583133
2025,RUNE,RUNE:stoch_turn:long:local_trend:h24:l4,stoch_turn,long,local_trend,24,4.0,41,-0.07231943603588009,-7.231943603588009,-0.17638886838019532,20,21,48.78048780487805,0.8862265347945822
2026_01_05,RUNE,RUNE:stoch_turn:long:local_trend:h24:l4,stoch_turn,long,local_trend,24,4.0,12,0.04828843365212787,4.828843365212787,0.40240361376773226,7,5,58.333333333333336,1.3540618040064276
2023H2,RUNE,RUNE:stoch_turn:short:local_trend:h24:l4,stoch_turn,short,local_trend,24,4.0,34,-0.21955466338389984,-21.955466338389982,-0.6457490099526466,17,17,50.0,0.7108940541062858
2024,RUNE,RUNE:stoch_turn:short:local_trend:h24:l4,stoch_turn,short,local_trend,24,4.0,54,0.42224874125753065,42.22487412575306,0.7819421134398716,30,24,55.55555555555556,1.4423042082357833
2025,RUNE,RUNE:stoch_turn:short:local_trend:h24:l4,stoch_turn,short,local_trend,24,4.0,55,-0.14865787927447816,-14.865787927447816,-0.2702870532263239,32,23,58.18181818181818,0.8410078328190932
2026_01_05,RUNE,RUNE:stoch_turn:short:local_trend:h24:l4,stoch_turn,short,local_trend,24,4.0,21,0.3373511428260967,33.73511428260967,1.6064340134576034,15,6,71.42857142857143,3.6387286114599884
2023H2,ICP,ICP:panic_snapback:long:market_contra:h12:l4,panic_snapback,long,market_contra,12,4.0,31,-0.34823690390358353,-34.82369039035835,-1.1233448513018824,15,16,48.38709677419355,0.6486151352739371
2024,ICP,ICP:panic_snapback:long:market_contra:h12:l4,panic_snapback,long,market_contra,12,4.0,107,-0.08167351515558252,-8.167351515558252,-0.07633038799587152,61,46,57.009345794392516,0.9627998460178689
2025,ICP,ICP:panic_snapback:long:market_contra:h12:l4,panic_snapback,long,market_contra,12,4.0,85,0.2938643061694446,29.38643061694446,0.34572271314052305,47,38,55.294117647058826,1.203873174228236
2026_01_05,ICP,ICP:panic_snapback:long:market_contra:h12:l4,panic_snapback,long,market_contra,12,4.0,29,0.058384444241248,5.8384444241248,0.2013256697974069,16,13,55.172413793103445,1.142071757146658
2023H2,ICP,ICP:panic_snapback:short:market_contra:h12:l4,panic_snapback,short,market_contra,12,4.0,37,-0.3039456820752835,-30.39456820752835,-0.8214748164196851,19,18,51.35135135135135,0.7003966389917877
