window,strategy,pair,base,side,enter_tag,open_date,close_date,profit_abs,profit_ratio_pct,duration_min,leverage
2024,Intp20Stage12XtzCoreRocFilterStrategy,SOL/USDT:USDT,SOL,short,s9_02_sol_panic_s_mc_h24_l4,2024-01-18 00:11:00+00:00,2024-01-18 02:11:00+00:00,451.4646814,9.037367098714661,120,4.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,COMP/USDT:USDT,COMP,long,s9_05_comp_rsi_l_mx_h24_l4,2024-01-18 19:56:00+00:00,2024-01-18 21:56:00+00:00,248.47181592,4.966962517621995,120,4.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,MKR/USDT:USDT,MKR,long,s9_11_mkr_micro_l_mchop_h18_l5,2024-01-19 10:11:00+00:00,2024-01-19 11:41:00+00:00,-118.55889115,-2.3701639619054125,90,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,ETC/USDT:USDT,ETC,long,s10_02_etc_maoff_l_mchop_h18m_l5,2024-01-20 15:54:00+00:00,2024-01-20 16:12:00+00:00,-88.66996245,-1.7725191325100234,18,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,DOGE/USDT:USDT,DOGE,long,s10_04_doge_maoff_l_ma_h12m_l5,2024-01-21 03:05:00+00:00,2024-01-21 03:17:00+00:00,-117.31813126,-2.345194397874954,12,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,OP/USDT:USDT,OP,long,s10_01_op_maoff_l_mc_h12m_l5,2024-01-22 01:24:00+00:00,2024-01-22 01:36:00+00:00,-108.37477872,-2.1664230244174645,12,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,XTZ/USDT:USDT,XTZ,long,s11_05_xtz_vstretch_l_mchop_h8m_l5,2024-01-22 12:16:00+00:00,2024-01-22 12:24:00+00:00,-75.5818532,-1.510884233996362,8,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,SUI/USDT:USDT,SUI,long,s9_25_sui_vwap_l_lc_h18_l5,2024-01-22 15:26:00+00:00,2024-01-22 16:56:00+00:00,713.26576728,14.258211803189313,90,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,SUI/USDT:USDT,SUI,long,s9_25_sui_vwap_l_lc_h18_l5,2024-01-23 14:16:00+00:00,2024-01-23 15:46:00+00:00,1437.89172395,28.743584229510578,90,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,MKR/USDT:USDT,MKR,short,s9_07_mkr_range_s_mc_h24_l4,2024-01-23 18:06:00+00:00,2024-01-23 20:06:00+00:00,102.2803272,2.0467954856201613,120,4.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,OP/USDT:USDT,OP,long,s10_01_op_maoff_l_mc_h12m_l5,2024-01-23 21:21:00+00:00,2024-01-23 21:33:00+00:00,118.0561056,2.3599486921471047,12,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,XTZ/USDT:USDT,XTZ,short,s9_08_xtz_rsi_s_lc_h24_l4,2024-01-23 22:26:00+00:00,2024-01-24 00:26:00+00:00,-345.1884462,-6.907245605467955,120,4.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,XTZ/USDT:USDT,XTZ,long,s11_05_xtz_vstretch_l_mchop_h8m_l5,2024-01-24 01:45:00+00:00,2024-01-24 01:53:00+00:00,1.72459455,0.034474741239006165,8,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,SOL/USDT:USDT,SOL,short,s9_02_sol_panic_s_mc_h24_l4,2024-01-24 00:56:00+00:00,2024-01-24 02:56:00+00:00,206.87976925,4.140677302658506,120,4.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,SOL/USDT:USDT,SOL,short,s9_02_sol_panic_s_mc_h24_l4,2024-01-24 10:51:00+00:00,2024-01-24 12:51:00+00:00,157.9783821,3.1624830369482897,120,4.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,MKR/USDT:USDT,MKR,long,s9_11_mkr_micro_l_mchop_h18_l5,2024-01-24 16:41:00+00:00,2024-01-24 18:11:00+00:00,-59.96456985,-1.1987226807364508,90,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,SUI/USDT:USDT,SUI,long,s9_25_sui_vwap_l_lc_h18_l5,2024-01-24 18:26:00+00:00,2024-01-24 19:56:00+00:00,260.54854529,5.208377339195149,90,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,MKR/USDT:USDT,MKR,long,s9_11_mkr_micro_l_mchop_h18_l5,2024-01-24 22:16:00+00:00,2024-01-24 23:46:00+00:00,248.978938,4.977487418388541,90,5.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,XTZ/USDT:USDT,XTZ,short,s9_08_xtz_rsi_s_lc_h24_l4,2024-01-26 02:16:00+00:00,2024-01-26 04:16:00+00:00,-191.3911816,-3.829752135168227,120,4.0
2024,Intp20Stage12XtzCoreRocFilterStrategy,MKR/USDT:USDT,MKR,short,s9_07_mkr_range_s_mc_h24_l4,2024-01-26 05:06:00+00:00,2024-01-26 07:06:00+00:00,85.796025,1.7167920658238276,120,4.0
