date,profit,exit_reason,raw_profit,pair,candidate_id,template,side,regime,hold
2024-03-07 05:45:00+00:00,-0.00430886426592797,fixed_hold,-0.03447091412742376,XTZ,5min:XTZ:panic_snapback:long:market_contra:h24:#1,panic_snapback,long,market_contra,24
2024-03-08 05:05:00+00:00,0.0005198228057874958,fixed_hold,0.004158582446299967,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2024-03-10 07:35:00+00:00,0.009108138658628417,fixed_hold,0.07286510926902734,SUI,5min:SUI:rsi_reversion:short:local_chop:h24:#3,rsi_reversion,short,local_chop,24
2024-03-10 14:45:00+00:00,0.0035443607875056964,fixed_hold,0.02835488630004557,LINK,5min:LINK:panic_snapback:long:market_contra:h24:#5,panic_snapback,long,market_contra,24
2024-03-12 17:10:00+00:00,0.011322544773498755,fixed_hold,0.09058035818799004,COMP,5min:COMP:rsi_reversion:long:market_extreme:h24:#7,rsi_reversion,long,market_extreme,24
2024-03-12 17:25:00+00:00,0.027566528066528095,fixed_hold,0.22053222453222476,XTZ,5min:XTZ:panic_snapback:long:market_contra:h24:#1,panic_snapback,long,market_contra,24
2024-03-13 11:15:00+00:00,0.0033041950728483487,fixed_hold,0.02643356058278679,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2024-03-13 22:00:00+00:00,0.0041132681137266425,fixed_hold,0.03290614490981314,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2024-03-14 09:15:00+00:00,0.006811888242577113,fixed_hold,0.054495105940616906,SOL,5min:SOL:panic_snapback:short:market_contra:h24:#2,panic_snapback,short,market_contra,24
2024-03-15 02:50:00+00:00,-0.021212852590581865,fixed_hold,-0.16970282072465492,COMP,5min:COMP:rsi_reversion:long:market_extreme:h24:#7,rsi_reversion,long,market_extreme,24
2024-03-15 02:50:00+00:00,-0.014408701854493555,fixed_hold,-0.11526961483594844,XTZ,5min:XTZ:panic_snapback:long:market_contra:h24:#1,panic_snapback,long,market_contra,24
2024-03-15 02:50:00+00:00,-0.012628424570820862,fixed_hold,-0.1010273965665669,LINK,5min:LINK:panic_snapback:long:market_contra:h24:#5,panic_snapback,long,market_contra,24
2024-03-15 02:55:00+00:00,-0.01998663605322032,fixed_hold,-0.15989308842576255,COMP,5min:COMP:rsi_reversion:long:market_extreme:h24:#7,rsi_reversion,long,market_extreme,24
2024-03-15 03:30:00+00:00,-7.815615891998374e-05,fixed_hold,-0.0006252492713598699,AAVE,5min:AAVE:panic_snapback:long:market_contra:h24:#6,panic_snapback,long,market_contra,24
2024-03-15 03:30:00+00:00,-0.002988455618265717,fixed_hold,-0.023907644946125736,LINK,5min:LINK:panic_snapback:long:market_contra:h24:#5,panic_snapback,long,market_contra,24
2024-03-15 08:55:00+00:00,0.001661779734297653,fixed_hold,0.013294237874381224,AAVE,5min:AAVE:panic_snapback:long:market_contra:h24:#6,panic_snapback,long,market_contra,24
2024-03-15 18:55:00+00:00,0.015453182619849237,fixed_hold,0.1236254609587939,XRP,5min:XRP:rsi_reversion:short:market_extreme:h24:#4,rsi_reversion,short,market_extreme,24
2024-03-16 18:30:00+00:00,0.004169260700389088,fixed_hold,0.033354085603112704,XTZ,5min:XTZ:panic_snapback:long:market_contra:h24:#1,panic_snapback,long,market_contra,24
2024-03-16 18:45:00+00:00,0.007703124999999977,fixed_hold,0.06162499999999982,XTZ,5min:XTZ:panic_snapback:long:market_contra:h24:#1,panic_snapback,long,market_contra,24
